MENACE 2: O
XX_XOO___; O; {(0, 2): O: 5, (2, 0): O: 3, (2, 1): O: 2, (2, 2): O: 2}
X_OO__X_X; O; {(0, 1): O: 1, (1, 1): O: 3, (1, 2): O: 1, (2, 1): O: 3}
XOO_X_X__; O; {(1, 0): O: 2, (1, 2): O: 2, (2, 1): O: 1, (2, 2): O: 4}
XOOOXXX__; O; {(2, 1): O: 2, (2, 2): O: 5}
OX_XX_OOX; O; {(1, 2): O: 116}
O__XXOXOX; O; {(0, 1): O: 1, (0, 2): O: 10}
_X_XX_OO_; O; {(0, 0): O: 2, (0, 2): O: 3, (1, 2): O: 3, (2, 2): O: 9}
_X_XOOX__; O; {(0, 0): O: 3, (0, 2): O: 3, (2, 1): O: 3, (2, 2): O: 6}
_XXXOOX_O; O; {(0, 0): O: 24, (2, 1): O: 2}
OX_XOOXX_; O; {(0, 2): O: 3, (2, 2): O: 15}
XOOO_XXX_; O; {(1, 1): O: 1, (2, 2): O: 4}
_O__XOX_X; O; {(0, 0): O: 2, (0, 2): O: 3, (1, 0): O: 3, (2, 1): O: 3}
_OXXX_OXO; O; {(1, 2): O: 23}
XO__X_OX_; O; {(0, 2): O: 1, (1, 0): O: 3, (1, 2): O: 1, (2, 2): O: 11}
XX_XO___O; O; {(1, 2): O: 3}
XO_OXXX_O; O; {(0, 2): O: 11, (2, 1): O: 1}
XXO__OX__; O; {(1, 0): O: 6, (1, 1): O: 3, (2, 1): O: 3, (2, 2): O: 3}
XXO__XO__; O; {(1, 0): O: 3, (1, 1): O: 6, (2, 1): O: 2, (2, 2): O: 6}
O_XXX_O__; O; {(0, 1): O: 11, (1, 2): O: 43, (2, 1): O: 6}
X_OX_X__O; O; {(0, 1): O: 2, (1, 1): O: 2, (2, 0): O: 6, (2, 1): O: 3}
XXOO_X_XO; O; {(1, 1): O: 7, (2, 0): O: 1}
XOX_OXOX_; O; {(1, 0): O: 2, (2, 2): O: 5}
XO_OXX_XO; O; {(0, 2): O: 11}
_XOX__O_X; O; {(0, 0): O: 5, (1, 1): O: 3, (1, 2): O: 3}
XO__X_XO_; O; {(0, 2): O: 3, (1, 0): O: 2, (1, 2): O: 2}
XXOX__O__; O; {(1, 1): O: 12, (1, 2): O: 3, (2, 2): O: 3}
XO____XXO; O; {(0, 2): O: 6, (1, 0): O: 4, (1, 1): O: 3, (1, 2): O: 3}
XOX__XXOO; O; {(1, 0): O: 2, (1, 1): O: 30}
XO_XOO_XX; O; {(0, 2): O: 2, (2, 0): O: 3}
_XXO_X_O_; O; {(0, 0): O: 3, (1, 1): O: 3, (2, 0): O: 6}
_XXOXXOO_; O; {(0, 0): O: 6}
OX___OXX_; O; {(0, 2): O: 2, (1, 0): O: 3, (1, 1): O: 3, (2, 2): O: 3}
XO__O__XX; O; {(0, 2): O: 3, (1, 0): O: 3, (1, 2): O: 6, (2, 0): O: 3}
OX__X__OX; O; {(0, 2): O: 7, (1, 0): O: 3, (1, 2): O: 4, (2, 0): O: 3}
XXOXX_O_O; O; {(1, 2): O: 6}
X_OO_XXOX; O; {(0, 1): O: 2, (1, 1): O: 6}
XXOXXO_O_; O; {(2, 0): O: 2, (2, 2): O: 3}
X_O__XX_O; O; {(0, 1): O: 3, (1, 0): O: 4, (1, 1): O: 3}
XO__XOXXO; O; {(0, 2): O: 3, (1, 0): O: 2}
XO_XXO___; O; {(0, 2): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 2}
XO_O_X_X_; O; {(0, 2): O: 3, (1, 1): O: 3, (2, 2): O: 4}
OX_X_O_X_; O; {(0, 2): O: 3, (1, 1): O: 3, (2, 0): O: 3, (2, 2): O: 6}
_X_OOX_X_; O; {(0, 0): O: 3, (0, 2): O: 6}
XOOX_O_XX; O; {(1, 1): O: 3, (2, 0): O: 2}
XOX__OX__; O; {(1, 0): O: 3, (1, 1): O: 2, (2, 1): O: 3, (2, 2): O: 3}
