Overnight Menace 2: O
X_OX_X_O_; O; {(0, 1): O: 2, (1, 1): O: 1, (2, 0): O: 3, (2, 2): O: 3}
XXOX_OO_X; O; {(1, 1): O: 75, (2, 1): O: 2}
X_O_XO_X_; O; {(0, 1): O: 5, (1, 0): O: 2, (2, 0): O: 3, (2, 2): O: 27}
XXOXXO_O_; O; {(2, 0): O: 1, (2, 2): O: 30}
_X_OXXO__; O; {(0, 0): O: 27, (0, 2): O: 2, (2, 1): O: 9, (2, 2): O: 2}
XXO_OOXX_; O; {(1, 0): O: 42, (2, 2): O: 3}
X_OXOX_OX; O; {(0, 1): O: 18, (2, 0): O: 42}
XXOO__XXO; O; {(1, 1): O: 11, (1, 2): O: 21}
OX_OXXXO_; O; {(0, 2): O: 25035}
X_O__XX_O; O; {(0, 1): O: 1, (1, 0): O: 16, (1, 1): O: 1}
XXOO_XX_O; O; {(1, 1): O: 1855, (2, 1): O: 4798}
XOO__XX__; O; {(2, 2): O: 1}
X_O_OXX__; O; {(1, 0): O: 64629}
XOOX_X___; O; {(1, 1): O: 2, (2, 0): O: 2, (2, 1): O: 2, (2, 2): O: 2}
OXOXX_O_X; O; {(1, 2): O: 3}
_XXOOXOX_; O; {(0, 0): O: 66, (2, 2): O: 1}
XXOX_X_OO; O; {(1, 1): O: 2, (2, 0): O: 33}
XOX_XO___; O; {(1, 0): O: 3, (2, 0): O: 5, (2, 1): O: 3, (2, 2): O: 3}
XOXXXOO__; O; {(2, 2): O: 7584}
X_OOXX_XO; O; {(0, 1): O: 57556}
XX_O_OX__; O; {(0, 2): O: 35, (1, 1): O: 6, (2, 1): O: 1}
XX_OXOXO_; O; {(0, 2): O: 3, (2, 2): O: 3}
XO_OXX___; O; {(2, 2): O: 66}
_X_XXO_O_; O; {(0, 0): O: 6, (0, 2): O: 7, (2, 2): O: 21}
XOX_X_OXO; O; {(1, 0): O: 19422}
_XXOO_X__; O; {(0, 0): O: 30, (1, 2): O: 3, (2, 1): O: 2, (2, 2): O: 9}
_X_XO_OX_; O; {(0, 0): O: 21, (0, 2): O: 33, (1, 2): O: 13, (2, 2): O: 6}
OX_XOXOX_; O; {(0, 2): O: 165}
OX__OXOXX; O; {(0, 2): O: 105, (1, 0): O: 12}
XO_XO___X; O; {(0, 2): O: 2, (1, 2): O: 7, (2, 0): O: 3, (2, 1): O: 57}
XO_XOO_XX; O; {(2, 0): O: 95}
OX__XO__X; O; {(1, 0): O: 1, (2, 1): O: 65}
XOO_OX_XX; O; {(1, 0): O: 1, (2, 0): O: 84}
XX__OX__O; O; {(0, 2): O: 14039, (1, 0): O: 2}
XO_XX_O__; O; {(0, 2): O: 2, (1, 2): O: 2, (2, 1): O: 3, (2, 2): O: 3}
X_OOX_X__; O; {(0, 1): O: 7, (1, 2): O: 12, (2, 1): O: 12, (2, 2): O: 40}
XX__OOX__; O; {(0, 2): O: 1, (1, 0): O: 51, (2, 1): O: 1, (2, 2): O: 1}
XXOOO_X_X; O; {(1, 2): O: 54, (2, 1): O: 5}
XXOXO____; O; {(1, 2): O: 2, (2, 0): O: 135, (2, 2): O: 2}
XXOX____O; O; {(1, 1): O: 1, (1, 2): O: 222, (2, 0): O: 27}
_XXOO__X_; O; {(0, 0): O: 27, (1, 2): O: 84, (2, 0): O: 7, (2, 2): O: 2}
XXOXO__OX; O; {(1, 2): O: 1, (2, 0): O: 51}
_XX_X_OO_; O; {(0, 0): O: 39, (1, 0): O: 11, (1, 2): O: 3, (2, 2): O: 12}
X_OO_X_X_; O; {(1, 1): O: 3207, (2, 2): O: 1700}
OXOX___X_; O; {(1, 1): O: 255, (1, 2): O: 2, (2, 0): O: 4, (2, 2): O: 1}
OX_X_XOOX; O; {(0, 2): O: 3, (1, 1): O: 3}
XOXXX_O_O; O; {(1, 2): O: 22, (2, 1): O: 30}
XXO_OX___; O; {(1, 0): O: 29, (2, 0): O: 297, (2, 1): O: 39, (2, 2): O: 73}
XXO_OX_XO; O; {(1, 0): O: 6, (2, 0): O: 105}
XO__X_XO_; O; {(0, 2): O: 3, (1, 0): O: 2, (1, 2): O: 1}
XXOX___O_; O; {(2, 0): O: 149}
_X_O_XXO_; O; {(0, 0): O: 1, (0, 2): O: 125, (1, 1): O: 6}
XXO__XXOO; O; {(1, 0): O: 40, (1, 1): O: 1}
X_XOO__X_; O; {(0, 1): O: 10, (1, 2): O: 30, (2, 0): O: 1, (2, 2): O: 4}
XO_OOXX_X; O; {(0, 2): O: 2, (2, 1): O: 18}
XX_OOX___; O; {(0, 2): O: 45, (2, 0): O: 3, (2, 1): O: 4, (2, 2): O: 3}
XOX_O_X__; O; {(1, 0): O: 27, (1, 2): O: 1, (2, 1): O: 39, (2, 2): O: 1}
X_O_X_XO_; O; {(0, 1): O: 2, (1, 0): O: 5, (1, 2): O: 2, (2, 2): O: 2}
X_XOO___X; O; {(0, 1): O: 6, (1, 2): O: 15, (2, 0): O: 3, (2, 1): O: 3}
_XOOXXO_X; O; {(0, 0): O: 60, (2, 1): O: 1}
XOXOO_XX_; O; {(1, 2): O: 54, (2, 2): O: 5}
XXOX_O_OX; O; {(1, 1): O: 3, (2, 0): O: 1}
XOX_X__O_; O; {(1, 0): O: 3, (2, 0): O: 2}
XOX_XXOO_; O; {(1, 0): O: 1, (2, 2): O: 24}
OO_OXX_XX; O; {(0, 2): O: 27}
OX_XX_O__; O; {(0, 2): O: 3, (1, 2): O: 4, (2, 1): O: 1, (2, 2): O: 1}
_XX_OXO__; O; {(0, 0): O: 2, (1, 0): O: 1}
XOOXOX_X_; O; {(2, 0): O: 48, (2, 2): O: 2}
