MENACE: X
XX__OO_XO; X; {(0, 2): X: 3, (1, 0): X: 6, (2, 0): X: 3}
OXO_XO__X; X; {(1, 0): X: 12, (2, 0): X: 24, (2, 1): X: 60}
XOO____X_; X; {(1, 0): X: 2, (1, 1): X: 4, (1, 2): X: 3, (2, 0): X: 6, (2, 2): X: 9}
X_O_XOOX_; X; {(0, 1): X: 3, (1, 0): X: 2, (2, 2): X: 15}
O_O_XX___; X; {(0, 1): X: 34, (1, 0): X: 45, (2, 0): X: 2, (2, 1): X: 6, (2, 2): X: 2}
XO_O_X_XO; X; {(0, 2): X: 4, (1, 1): X: 4}
XO_X__O__; X; {(0, 2): X: 3, (1, 1): X: 3, (1, 2): X: 9, (2, 1): X: 3, (2, 2): X: 5}
OXX_X_O_O; X; {(1, 0): X: 3, (1, 2): X: 2, (2, 1): X: 9}
X_OOX_X_O; X; {(0, 1): X: 16, (1, 2): X: 54}
XXOOX___O; X; {(1, 2): X: 7, (2, 0): X: 2, (2, 1): X: 15}
OX__X_OOX; X; {(0, 2): X: 2, (1, 0): X: 113}
XOOX__O_X; X; {(1, 1): X: 9, (1, 2): X: 2, (2, 1): X: 3}
OXOXX___O; X; {(1, 2): X: 27, (2, 0): X: 3, (2, 1): X: 15}
OX__X___O; X; {(0, 2): X: 3, (1, 0): X: 18, (1, 2): X: 3, (2, 0): X: 6, (2, 1): X: 12}
OX__X_XOO; X; {(0, 2): X: 12, (1, 0): X: 15, (1, 2): X: 3}
_XXO__OOX; X; {(0, 0): X: 9, (1, 1): X: 3, (1, 2): X: 3}
XOO___XXO; X; {(1, 0): X: 12, (1, 1): X: 2, (1, 2): X: 5}
OXX_OOOXX; X; {(1, 0): X: 13}
X_O_X_O__; X; {(0, 1): X: 2, (1, 2): X: 20, (2, 2): X: 12}
_XOOOXX__; X; {(0, 0): X: 3, (2, 1): X: 3, (2, 2): X: 18}
XXOX___OO; X; {(1, 1): X: 3, (1, 2): X: 2, (2, 0): X: 3}
_XXX_OO_O; X; {(0, 0): X: 12, (1, 1): X: 2, (2, 1): X: 3}
XO_OOX_X_; X; {(0, 2): X: 3, (2, 2): X: 6}
X_OOXO_X_; X; {(0, 1): X: 15, (2, 0): X: 3, (2, 2): X: 3}
XX_OOX__O; X; {(0, 2): X: 12, (2, 0): X: 6, (2, 1): X: 3}
XXO__O___; X; {(1, 0): X: 11, (1, 1): X: 1, (2, 0): X: 2, (2, 1): X: 5, (2, 2): X: 3}
X_OXX__OO; X; {(0, 1): X: 3, (1, 2): X: 9, (2, 0): X: 6}
XXO_X_OO_; X; {(1, 0): X: 1, (1, 2): X: 3, (2, 2): X: 18}
XOXOO_XXO; X; {(1, 2): X: 76}
XXOXOO___; X; {(2, 0): X: 36, (2, 2): X: 1}
_X__XOO__; X; {(0, 0): X: 24, (0, 2): X: 2, (1, 0): X: 3, (2, 1): X: 3, (2, 2): X: 12}
XOO_XXO__; X; {(1, 0): X: 3, (2, 1): X: 9, (2, 2): X: 15}
X_OOOX_X_; X; {(0, 1): X: 5, (2, 0): X: 3, (2, 2): X: 4}
X_O_X__O_; X; {(0, 1): X: 3, (1, 0): X: 3, (1, 2): X: 2, (2, 0): X: 12, (2, 2): X: 9}
O___X__OX; X; {(0, 1): X: 3, (0, 2): X: 4, (1, 0): X: 9, (1, 2): X: 21, (2, 0): X: 3}
OO__XX_OX; X; {(0, 2): X: 6, (1, 0): X: 9, (2, 0): X: 5}
X_OOO_X_X; X; {(0, 1): X: 1, (1, 2): X: 65, (2, 1): X: 354}
XX__OOXO_; X; {(0, 2): X: 9, (1, 0): X: 6, (2, 2): X: 3}
X_O_OXX_O; X; {(0, 1): X: 7, (1, 0): X: 3}
XOOXX__O_; X; {(1, 2): X: 15, (2, 0): X: 3, (2, 2): X: 15}
_XOXO____; X; {(0, 0): X: 1, (1, 2): X: 3, (2, 0): X: 4, (2, 1): X: 3, (2, 2): X: 3}
XX_XOO__O; X; {(0, 2): X: 3, (2, 0): X: 6, (2, 1): X: 3}
XOOO__X_X; X; {(1, 1): X: 75, (1, 2): X: 45, (2, 1): X: 12}
XOO__XO_X; X; {(1, 0): X: 2, (1, 1): X: 9, (2, 1): X: 3}
O__XXO_OX; X; {(0, 1): X: 3, (0, 2): X: 5, (2, 0): X: 7}
XO___XXOO; X; {(0, 2): X: 2, (1, 0): X: 6, (1, 1): X: 6}
OX__O_XOX; X; {(0, 2): X: 7, (1, 0): X: 9, (1, 2): X: 5}
XOOXOO_XX; X; {(2, 0): X: 9}
_OO_XXX_O; X; {(0, 0): X: 25, (1, 0): X: 66}
XOOO_X__X; X; {(1, 1): X: 3, (2, 0): X: 3, (2, 1): X: 6}
X_X__O_O_; X; {(0, 1): X: 9, (1, 0): X: 3, (1, 1): X: 3, (2, 0): X: 3, (2, 2): X: 6}
X_OO_X_XO; X; {(0, 1): X: 11, (1, 1): X: 4, (2, 0): X: 5}
X_X_OO_XO; X; {(0, 1): X: 12, (1, 0): X: 6, (2, 0): X: 1}
XO____XO_; X; {(0, 2): X: 3, (1, 0): X: 6, (1, 1): X: 9, (1, 2): X: 3}
X_O_O___X; X; {(1, 0): X: 2, (2, 0): X: 222}
OXXOX___O; X; {(1, 2): X: 2, (2, 0): X: 9, (2, 1): X: 6}
XO__XOOX_; X; {(0, 2): X: 6, (1, 0): X: 3, (2, 2): X: 9}
OXO_XX__O; X; {(1, 0): X: 3, (2, 0): X: 12}
XOX__OO_X; X; {(1, 0): X: 8, (1, 1): X: 117}
