Overnight Menace 1: X
_XOO_XXO_; X; {(0, 0): X: 910, (1, 1): X: 1024}
O_XOXX__O; X; {(2, 0): X: 384}
OXXOXX_OO; X; {(2, 0): X: 12}
_O__X____; X; {(0, 0): X: 148, (1, 0): X: 14, (2, 0): X: 10, (2, 1): X: 10}
XO__X__O_; X; {(0, 2): X: 6, (1, 0): X: 3, (1, 2): X: 6, (2, 0): X: 12, (2, 2): X: 12}
XO__XX_OO; X; {(1, 0): X: 12, (2, 0): X: 36}
OXOX_XOXO; X; {(1, 1): X: 12}
XX_O__O__; X; {(0, 2): X: 66, (1, 1): X: 35, (1, 2): X: 58, (2, 1): X: 1171, (2, 2): X: 45}
OX__X_O__; X; {(1, 0): X: 80, (2, 1): X: 72, (2, 2): X: 8}
OX_XX__OO; X; {(0, 2): X: 1, (1, 2): X: 105, (2, 0): X: 117}
XXOO_____; X; {(1, 1): X: 1138, (1, 2): X: 11, (2, 0): X: 12, (2, 1): X: 16, (2, 2): X: 40}
XXO_OOX__; X; {(1, 0): X: 45, (2, 2): X: 2}
OX_OXXXOO; X; {(0, 2): X: 84}
X___OX_O_; X; {(0, 1): X: 21188}
XXO_OX_O_; X; {(2, 0): X: 20899}
XXO_OXXOO; X; {(1, 0): X: 84}
_X_OO__X_; X; {(0, 0): X: 1, (0, 2): X: 3, (1, 2): X: 2}
XX_OO__XO; X; {(0, 2): X: 105, (1, 2): X: 12, (2, 0): X: 2}
XX_O_XO_O; X; {(0, 2): X: 39, (2, 1): X: 33}
XXO_X__OO; X; {(1, 0): X: 2, (1, 2): X: 3, (2, 0): X: 3}
_OOOXXX__; X; {(0, 0): X: 6849}
X_O_XXO_O; X; {(0, 1): X: 1, (1, 0): X: 9, (2, 1): X: 75}
_X_OO_X__; X; {(1, 2): X: 80186}
_XOOOXX__; X; {(0, 0): X: 3673, (2, 1): X: 6349, (2, 2): X: 9371}
XOOXX___O; X; {(1, 2): X: 3, (2, 0): X: 66, (2, 1): X: 1}
XX_O___O_; X; {(0, 2): X: 330, (1, 1): X: 315, (1, 2): X: 57, (2, 0): X: 28, (2, 2): X: 212}
XX_OX__OO; X; {(0, 2): X: 171, (1, 2): X: 1, (2, 0): X: 24}
X_OX_X_OO; X; {(0, 1): X: 1, (1, 1): X: 72, (2, 0): X: 72}
_XO___OX_; X; {(0, 0): X: 2, (1, 0): X: 3, (1, 1): X: 12}
X_O__OX__; X; {(0, 1): X: 1, (1, 0): X: 9, (1, 1): X: 1, (2, 1): X: 5, (2, 2): X: 243}
X_OXOX_O_; X; {(0, 1): X: 3, (2, 0): X: 30, (2, 2): X: 1}
XXOO__X_O; X; {(1, 1): X: 8, (1, 2): X: 94, (2, 1): X: 7}
XXOOO_XXO; X; {(1, 2): X: 67}
XOO_XX__O; X; {(1, 0): X: 48, (2, 0): X: 5, (2, 1): X: 6}
X_OO_XX_O; X; {(0, 1): X: 1289, (1, 1): X: 829}
OX__OXO_X; X; {(0, 2): X: 60, (1, 0): X: 4}
X_OX___O_; X; {(0, 1): X: 6, (1, 1): X: 217, (1, 2): X: 8, (2, 0): X: 390, (2, 2): X: 378}
XOXO__X_O; X; {(1, 1): X: 501, (1, 2): X: 64}
XOXO_XXOO; X; {(1, 1): X: 252}
XXOOX___O; X; {(1, 2): X: 8, (2, 0): X: 5, (2, 1): X: 354}
OX_X_O_XO; X; {(0, 2): X: 2, (1, 1): X: 39, (2, 0): X: 1}
XOO_OXX__; X; {(1, 0): X: 75, (2, 1): X: 9, (2, 2): X: 1}
X_OOO_X_X; X; {(1, 2): X: 25, (2, 1): X: 612}
XOOO_XX__; X; {(1, 1): X: 20, (2, 1): X: 24, (2, 2): X: 126}
XOOXOX___; X; {(2, 0): X: 342, (2, 1): X: 2, (2, 2): X: 1}
X_OOXOX__; X; {(0, 1): X: 1, (2, 1): X: 3, (2, 2): X: 48}
XOOX_XOOX; X; {(1, 1): X: 15}
OXO_O_X_X; X; {(1, 0): X: 8, (2, 1): X: 21}
X_OX____O; X; {(0, 1): X: 1, (1, 1): X: 7, (1, 2): X: 157, (2, 0): X: 783, (2, 1): X: 3}
XXO__X_OO; X; {(1, 0): X: 1, (2, 0): X: 28}
XXO__XOO_; X; {(1, 0): X: 3, (1, 1): X: 3, (2, 2): X: 3}
XOOXO___X; X; {(1, 2): X: 2, (2, 0): X: 105}
X_O_OOXX_; X; {(0, 1): X: 1, (1, 0): X: 57, (2, 2): X: 99}
XO__XO___; X; {(0, 2): X: 4, (1, 0): X: 3, (2, 0): X: 3, (2, 1): X: 9, (2, 2): X: 18}
XOX_XOO__; X; {(1, 0): X: 12, (2, 1): X: 9, (2, 2): X: 9}
X_OOXX__O; X; {(0, 1): X: 20161, (2, 0): X: 18564, (2, 1): X: 54685}
_X_O_OX__; X; {(0, 0): X: 8, (0, 2): X: 5, (1, 1): X: 46, (2, 1): X: 2, (2, 2): X: 1}
XX_O_OXO_; X; {(0, 2): X: 9, (1, 1): X: 12, (2, 2): X: 6}
XX_OXOXOO; X; {(0, 2): X: 36}
X_OXXO_O_; X; {(0, 1): X: 4, (2, 0): X: 39, (2, 2): X: 60}
XO_OX____; X; {(0, 2): X: 4, (1, 2): X: 12, (2, 2): X: 12}
