Gabe: O
X_X_XOOXXXXXOOXOOXXOOXOOXOXXOOXOOO_OOOOXXOXOXXOXX; X; {(0, 1): X: 4, (0, 3): X: 3, (4, 6): X: 3}
XXX_XOOXXXXXOOXOOXXOOXOOXOXXOOXOOOOOOOOXXOXOXXOXX; X; {(0, 3): X: 4}
_________________________; X; {(0, 0): X: 3, (0, 1): X: 3, (0, 2): X: 3, (1, 1): X: 4, (1, 2): X: 3, (2, 2): X: 3}
O_____X__________________; X; {(0, 1): X: 3, (0, 2): X: 4, (0, 3): X: 3, (0, 4): X: 3, (1, 2): X: 3, (1, 3): X: 3, (1, 4): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 4): X: 3, (3, 3): X: 3, (3, 4): X: 3, (4, 4): X: 3}
O_X___X_________________O; X; {(0, 1): X: 3, (0, 3): X: 3, (0, 4): X: 3, (1, 0): X: 3, (1, 2): X: 3, (1, 3): X: 3, (1, 4): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 4): X: 3, (3, 0): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 4, (3, 4): X: 3, (4, 0): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3}
O_X___XO__________X_____O; X; {(0, 1): X: 3, (0, 3): X: 3, (0, 4): X: 3, (1, 0): X: 3, (1, 3): X: 3, (1, 4): X: 4, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 4): X: 3, (3, 0): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 4): X: 3, (4, 0): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3}
O_X___XO_X________X___O_O; X; {(0, 1): X: 3, (0, 3): X: 3, (0, 4): X: 3, (1, 0): X: 3, (1, 3): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 4): X: 3, (3, 0): X: 3, (3, 1): X: 3, (3, 2): X: 4, (3, 4): X: 3, (4, 0): X: 3, (4, 1): X: 3, (4, 3): X: 3}
O_X___XOOX_______XX___O_O; X; {(0, 1): X: 3, (0, 3): X: 3, (0, 4): X: 3, (1, 0): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 4): X: 3, (3, 0): X: 3, (3, 1): X: 3, (3, 4): X: 3, (4, 0): X: 3, (4, 1): X: 3, (4, 3): X: 4}
O_X___XOOX_O_____XX___OXO; X; {(0, 1): X: 3, (0, 3): X: 3, (0, 4): X: 3, (1, 0): X: 3, (2, 0): X: 3, (2, 2): X: 4, (2, 3): X: 3, (2, 4): X: 3, (3, 0): X: 3, (3, 1): X: 3, (3, 4): X: 3, (4, 0): X: 3, (4, 1): X: 3}
O_X___XOOX_OX__O_XX___OXO; X; {(0, 1): X: 3, (0, 3): X: 4, (0, 4): X: 3, (1, 0): X: 3, (2, 0): X: 3, (2, 3): X: 3, (2, 4): X: 3, (3, 1): X: 3, (3, 4): X: 3, (4, 0): X: 3, (4, 1): X: 3}
O_XX__XOOX_OX__O_XXO__OXO; X; {(0, 1): X: 3, (0, 4): X: 3, (1, 0): X: 3, (2, 0): X: 3, (2, 3): X: 3, (2, 4): X: 3, (3, 1): X: 4, (4, 0): X: 3, (4, 1): X: 3}
O_XX__XOOX_OX__OXXXO_OOXO; X; {(0, 1): X: 3, (0, 4): X: 3, (1, 0): X: 4, (2, 0): X: 3, (2, 3): X: 3, (2, 4): X: 3, (4, 0): X: 3}
O_XXOXXOOX_OX__OXXXO_OOXO; X; {(0, 1): X: 3, (2, 0): X: 3, (2, 3): X: 4, (2, 4): X: 3, (4, 0): X: 3}
O_XXOXXOOXOOXX_OXXXO_OOXO; X; {(0, 1): X: 4, (2, 4): X: 3, (4, 0): X: 3}
