Menace A: X
X_XXOO_O_; X; {(1, 2): X: 12, (3, 1): X: 3, (3, 3): X: 3}
XOXOO___X; X; {(2, 3): X: 18, (3, 1): X: 1, (3, 2): X: 2}
XOX_OO__X; X; {(2, 1): X: 1}
_X__OOXOX; X; {(1, 1): X: 2, (1, 3): X: 1, (2, 1): X: 9}
XXO_O__OX; X; {(2, 1): X: 4, (3, 1): X: 4}
OOXXX_OXO; X; {(2, 3): X: 15}
XO____O_X; X; {(1, 3): X: 3, (2, 1): X: 3, (2, 2): X: 6, (2, 3): X: 6, (3, 2): X: 3}
XO_OX____; X; {(1, 3): X: 3, (2, 3): X: 3, (3, 3): X: 6}
XO__OXO_X; X; {(1, 3): X: 9, (2, 1): X: 3, (3, 2): X: 3}
XX__OO___; X; {(1, 3): X: 18, (2, 1): X: 7, (3, 1): X: 6, (3, 2): X: 3, (3, 3): X: 2}
XXOO__X_O; X; {(2, 2): X: 4, (2, 3): X: 4, (3, 2): X: 4}
XOO___XOX; X; {(2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 6}
_X_O__X_O; X; {(1, 1): X: 7, (1, 3): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 2): X: 2}
XO_XOO__X; X; {(1, 3): X: 3, (3, 1): X: 12, (3, 2): X: 3}
OX_XXOO__; X; {(1, 3): X: 4, (3, 2): X: 6, (3, 3): X: 3}
_X_O__XO_; X; {(1, 1): X: 3, (1, 3): X: 3, (2, 2): X: 6, (2, 3): X: 3, (3, 3): X: 3}
_X_OXOXO_; X; {(1, 1): X: 9, (1, 3): X: 3, (3, 3): X: 9}
OX_OXOXOX; X; {(1, 3): X: 12}
XX_XOO_O_; X; {(1, 3): X: 6, (3, 3): X: 6}
XXO_O_XO_; X; {(2, 1): X: 6, (2, 3): X: 3, (3, 3): X: 3}
XX_O_XO_O; X; {(1, 3): X: 3, (2, 2): X: 6, (3, 2): X: 3}
XXOOXXO_O; X; {(3, 2): X: 6}
OXXOX___O; X; {(2, 3): X: 2, (3, 1): X: 3, (3, 2): X: 3}
X_OOO_X_X; X; {(1, 2): X: 3, (2, 3): X: 4, (3, 2): X: 3}
XO__X_OXO; X; {(1, 3): X: 3, (2, 1): X: 4, (2, 3): X: 9}
XOO_X____; X; {(2, 1): X: 3, (2, 3): X: 9, (3, 1): X: 3, (3, 2): X: 4, (3, 3): X: 3}
XOOOX__X_; X; {(2, 3): X: 3, (3, 1): X: 4, (3, 3): X: 3}
O_O_X___X; X; {(1, 2): X: 3, (2, 1): X: 3, (2, 3): X: 3, (3, 1): X: 6, (3, 2): X: 3}
O_OOX_X_X; X; {(1, 2): X: 9, (2, 3): X: 3, (3, 2): X: 3}
XO_O____X; X; {(1, 3): X: 6, (2, 2): X: 3, (2, 3): X: 3}
OXXOOX___; X; {(3, 1): X: 5, (3, 2): X: 1, (3, 3): X: 3}
_XXOXOOOX; X; {(1, 1): X: 12}
XO_OO__XX; X; {(1, 3): X: 3, (2, 3): X: 9, (3, 1): X: 3}
OXO_XX__O; X; {(2, 1): X: 6, (3, 1): X: 3}
X_XXO_O_O; X; {(1, 2): X: 12, (2, 3): X: 2, (3, 2): X: 6}
XO__X_O__; X; {(1, 3): X: 3, (2, 1): X: 3, (2, 3): X: 3, (3, 2): X: 7, (3, 3): X: 3}
XO_XXO_O_; X; {(1, 3): X: 3, (3, 1): X: 3, (3, 3): X: 6}
X_OXOX__O; X; {(1, 2): X: 3, (3, 1): X: 6, (3, 2): X: 3}
OX_____XO; X; {(1, 3): X: 3, (2, 1): X: 6, (2, 2): X: 6}
X__XOXOO_; X; {(1, 2): X: 1, (1, 3): X: 3, (3, 3): X: 3}
X__OOXOX_; X; {(1, 2): X: 3, (1, 3): X: 6, (3, 3): X: 2}
XX_O_XOO_; X; {(1, 3): X: 3, (2, 2): X: 6, (3, 3): X: 3}
XXOOXXOO_; X; {(3, 3): X: 6}
