Menace 2: O
XOO_XX_XO; O; {(2, 1): O: 3, (3, 1): O: 2}
XX_XO_O__; O; {(1, 3): O: 12, (2, 3): O: 3, (3, 2): O: 2, (3, 3): O: 3}
XOX___X_O; O; {(2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 2, (3, 2): O: 3}
X_X___O__; O; {(1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (3, 2): O: 2, (3, 3): O: 3}
OXOX__OXX; O; {(2, 2): O: 3, (2, 3): O: 2}
_O__X_XXO; O; {(1, 1): O: 2, (1, 3): O: 3, (2, 1): O: 3, (2, 3): O: 3}
X___OX_OX; O; {(1, 2): O: 3, (1, 3): O: 6, (2, 1): O: 3, (3, 1): O: 3}
X_XX_O_O_; O; {(1, 2): O: 3, (2, 2): O: 6, (3, 1): O: 6, (3, 3): O: 3}
XO_OOXX_X; O; {(1, 3): O: 3, (3, 2): O: 6}
X__X____O; O; {(1, 2): O: 3, (1, 3): O: 3, (2, 2): O: 3, (2, 3): O: 2, (3, 1): O: 3, (3, 2): O: 3}
___XO_XOX; O; {(1, 1): O: 4, (1, 2): O: 3, (1, 3): O: 3, (2, 3): O: 6}
XOXX___O_; O; {(2, 2): O: 3, (2, 3): O: 3, (3, 1): O: 3, (3, 3): O: 2}
OO_OXX_XX; O; {(1, 3): O: 6}
XO_XOX_XO; O; {(1, 3): O: 3, (3, 1): O: 4}
XOOO_XXX_; O; {(2, 2): O: 2, (3, 3): O: 4}
XX___O_XO; O; {(1, 3): O: 6, (2, 1): O: 3, (2, 2): O: 3, (3, 1): O: 3}
OO_XXOXX_; O; {(1, 3): O: 9, (3, 3): O: 3}
XOX_O__X_; O; {(2, 1): O: 9, (3, 1): O: 3}
XO_X_O_X_; O; {(1, 3): O: 3, (2, 2): O: 3, (3, 1): O: 3, (3, 3): O: 2}
XO____X__; O; {(1, 3): O: 2, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (3, 2): O: 3, (3, 3): O: 3}
XO_XO__X_; O; {(1, 3): O: 3, (2, 3): O: 3, (3, 1): O: 4, (3, 3): O: 3}
XO_XOXOX_; O; {(1, 3): O: 3, (3, 3): O: 4}
X_XXO_O__; O; {(1, 2): O: 4, (2, 3): O: 3, (3, 2): O: 2, (3, 3): O: 3}
XX_XOX_OO; O; {(1, 3): O: 3, (3, 1): O: 6}
