Menace B: O
____X____; O; {(1, 1): O: 51}
_OOXX_OXX; O; {(1, 1): O: 9, (2, 3): O: 1}
_XOO_XXOX; O; {(1, 1): O: 6, (2, 2): O: 3}
_XOXXOXO_; O; {(1, 1): O: 5, (3, 3): O: 18}
XOO_OX_XX; O; {(2, 1): O: 1, (3, 1): O: 27}
OX_OOX_XX; O; {(1, 3): O: 2, (3, 1): O: 18}
XXOO__XOX; O; {(2, 2): O: 7, (2, 3): O: 2}
XXOOX_XO_; O; {(3, 3): O: 6}
XX_OOXOX_; O; {(1, 3): O: 9, (3, 3): O: 2}
XXO_OX_XO; O; {(2, 1): O: 5, (3, 1): O: 6}
OXOX_XOX_; O; {(2, 2): O: 3, (3, 3): O: 2}
OO_OXXXX_; O; {(1, 3): O: 9, (3, 3): O: 2}
XOXO__OXX; O; {(2, 2): O: 2, (2, 3): O: 2}
_XXX_OOXO; O; {(1, 1): O: 3, (2, 2): O: 2}
XX_OOXXO_; O; {(1, 3): O: 26}
X_XXXOOO_; O; {(1, 2): O: 2, (3, 3): O: 15}
