5x5 Menace 2: O
_O_____X__XO________X____; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 3): O: 2, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
_O_____X__XOO_______X_X__; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 2, (4, 5): O: 3, (5, 2): O: 3, (5, 4): O: 3, (5, 5): O: 3}
_O_____X__XOO_____O_X_X_X; O; {(1, 1): O: 2, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 2): O: 3, (5, 4): O: 3}
OOX____X__XOO_____O_X_X_X; O; {(1, 4): O: 3, (1, 5): O: 2, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 2): O: 3, (5, 4): O: 3}
OOX_O__X__XOO____XO_X_X_X; O; {(1, 4): O: 2, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 5): O: 3, (5, 2): O: 3, (5, 4): O: 3}
OOXOOX_X__XOO____XO_X_X_X; O; {(2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 2, (4, 5): O: 3, (5, 2): O: 3, (5, 4): O: 3}
OOXOOX_XX_XOO___OXO_X_X_X; O; {(2, 2): O: 3, (2, 5): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 5): O: 2, (5, 2): O: 3, (5, 4): O: 3}
OOXOOX_XX_XOOX__OXOOX_X_X; O; {(2, 2): O: 3, (2, 5): O: 3, (3, 5): O: 3, (4, 1): O: 2, (5, 2): O: 3, (5, 4): O: 3}
OOXOOX_XX_XOOX_OOXOOX_XXX; O; {(2, 2): O: 2, (2, 5): O: 3, (3, 5): O: 3, (5, 2): O: 3}
X____X________O__________; O; {(1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 4, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
X___OX______X_O__________; O; {(1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (2, 2): O: 3, (2, 3): O: 4, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
X___OX_OX___X_O__________; O; {(1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (2, 2): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 4, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
X___OX_OX___XOOX_________; O; {(1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (2, 2): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 4, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
X___OX_OX___XOOX_____OX__; O; {(1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (2, 2): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 4, (4, 5): O: 3, (5, 1): O: 3, (5, 4): O: 3, (5, 5): O: 3}
X_X_OX_OX___XOOX__O__OX__; O; {(1, 2): O: 3, (1, 4): O: 3, (2, 2): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 1): O: 4, (5, 4): O: 3, (5, 5): O: 3}
X_X_OX_OX___XOOXX_O_OOX__; O; {(1, 2): O: 3, (1, 4): O: 3, (2, 2): O: 3, (2, 5): O: 4, (3, 1): O: 3, (3, 2): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 4): O: 3, (5, 5): O: 3}
