First GUI MENACE: X
X_OO____X; X; {(0, 1): X: 3, (1, 1): X: 3, (1, 2): X: 2, (2, 0): X: 3, (2, 1): X: 3}
X_OOOX__X; X; {(0, 1): X: 6, (2, 0): X: 3}
XX_O___O_; X; {(0, 2): X: 3, (1, 1): X: 3, (1, 2): X: 6, (2, 0): X: 3, (2, 2): X: 3}
XXOOXOXO_; X; {(2, 2): X: 9}
_XXOOX_O_; X; {(0, 0): X: 12, (2, 0): X: 3}
_XOXOX__O; X; {(0, 0): X: 3, (2, 0): X: 6, (2, 1): X: 3}
OXX__OXO_; X; {(1, 0): X: 4, (1, 1): X: 3, (2, 2): X: 4}
XXO___XOO; X; {(1, 0): X: 3, (1, 1): X: 2, (1, 2): X: 6}
OOX_X_OX_; X; {(1, 0): X: 45}
XXO____O_; X; {(1, 0): X: 5, (1, 1): X: 3, (1, 2): X: 2, (2, 0): X: 3, (2, 2): X: 3}
XXOOO_XXO; X; {(1, 2): X: 21}
XXOOO_X__; X; {(1, 2): X: 109, (2, 1): X: 5, (2, 2): X: 1}
XOX_O____; X; {(1, 0): X: 3, (2, 0): X: 6, (2, 1): X: 5}
XOX_OOX__; X; {(1, 0): X: 9, (2, 1): X: 3, (2, 2): X: 3}
XX_OO_O_X; X; {(0, 2): X: 3, (1, 2): X: 3, (2, 1): X: 2}
OOXXX_O__; X; {(1, 2): X: 30, (2, 1): X: 7, (2, 2): X: 6}
X_X_OO___; X; {(0, 1): X: 3, (1, 0): X: 4, (2, 0): X: 6, (2, 1): X: 2, (2, 2): X: 3}
X_XXOOO__; X; {(0, 1): X: 12, (2, 1): X: 7, (2, 2): X: 6}
XOXXOOOX_; X; {(2, 2): X: 49}
OX_O__XXO; X; {(0, 2): X: 3, (1, 1): X: 12, (1, 2): X: 3}
X_O__XOXO; X; {(0, 1): X: 6, (1, 1): X: 3}
X_XO____O; X; {(0, 1): X: 3, (1, 1): X: 6, (1, 2): X: 3, (2, 0): X: 7, (2, 1): X: 6}
X_XOO_X_O; X; {(0, 1): X: 3, (1, 2): X: 4, (2, 1): X: 3}
XX__OOXO_; X; {(0, 2): X: 9, (1, 0): X: 12, (2, 2): X: 3}
OOXOXX___; X; {(2, 0): X: 9, (2, 1): X: 3, (2, 2): X: 3}
OX____XO_; X; {(0, 2): X: 4, (1, 0): X: 3, (1, 1): X: 6, (1, 2): X: 5, (2, 2): X: 3}
X_OX____O; X; {(0, 1): X: 3, (1, 1): X: 3, (1, 2): X: 6, (2, 0): X: 3, (2, 1): X: 3}
X_OX_XO_O; X; {(0, 1): X: 2, (1, 1): X: 12, (2, 1): X: 6}
OX_X_OXO_; X; {(0, 2): X: 6, (1, 1): X: 3, (2, 2): X: 5}
_XOO_XO_X; X; {(0, 0): X: 5, (1, 1): X: 3, (2, 1): X: 3}
XXOXO__O_; X; {(1, 2): X: 3, (2, 0): X: 12, (2, 2): X: 2}
X_X__O__O; X; {(0, 1): X: 6, (1, 0): X: 3, (1, 1): X: 6, (2, 0): X: 3, (2, 1): X: 6}
XXO_OOX__; X; {(1, 0): X: 21, (2, 1): X: 2, (2, 2): X: 3}
XOO__X___; X; {(1, 0): X: 3, (1, 1): X: 3, (2, 0): X: 6, (2, 1): X: 3, (2, 2): X: 3}
XXO_OOXOX; X; {(1, 0): X: 9}
O__OXXX_O; X; {(0, 1): X: 3, (0, 2): X: 6, (2, 1): X: 9}
X_O__OX__; X; {(0, 1): X: 6, (1, 0): X: 6, (1, 1): X: 3, (2, 1): X: 3, (2, 2): X: 3}
XOX_OO_X_; X; {(1, 0): X: 5, (2, 0): X: 6, (2, 2): X: 3}
XX_OO_XO_; X; {(0, 2): X: 6, (1, 2): X: 3, (2, 2): X: 3}
OXOXO___X; X; {(1, 2): X: 1, (2, 0): X: 10, (2, 1): X: 1}
OXOXOX___; X; {(2, 0): X: 3, (2, 1): X: 2}
X_O__X__O; X; {(0, 1): X: 3, (1, 0): X: 5, (1, 1): X: 3, (2, 0): X: 3, (2, 1): X: 3}
_X_O__XO_; X; {(0, 0): X: 3, (0, 2): X: 6, (1, 1): X: 6, (1, 2): X: 3, (2, 2): X: 3}
XXO_____O; X; {(1, 0): X: 6, (1, 1): X: 3, (1, 2): X: 4, (2, 0): X: 2, (2, 1): X: 3}
OX_OXX_O_; X; {(0, 2): X: 2, (2, 0): X: 3, (2, 2): X: 3}
XOO___OXX; X; {(1, 0): X: 3, (1, 1): X: 6, (1, 2): X: 3}
XX_OO_X_O; X; {(0, 2): X: 6, (1, 2): X: 3, (2, 1): X: 3}
_XOOX_XO_; X; {(0, 0): X: 3, (1, 2): X: 4, (2, 2): X: 3}
O_O_XXXO_; X; {(0, 1): X: 3, (1, 0): X: 3, (2, 2): X: 4}
OO__XXX_O; X; {(0, 2): X: 3, (1, 0): X: 6, (2, 1): X: 2}
X_OO___X_; X; {(0, 1): X: 3, (1, 1): X: 3, (1, 2): X: 4, (2, 0): X: 2, (2, 2): X: 3}
X_OO_X_XO; X; {(0, 1): X: 6, (1, 1): X: 3, (2, 0): X: 4}
X_O_O___X; X; {(0, 1): X: 4, (1, 0): X: 3, (2, 0): X: 3}
OOXOX___X; X; {(1, 2): X: 3, (2, 0): X: 6, (2, 1): X: 2}
XXOO__XO_; X; {(1, 1): X: 3, (1, 2): X: 3, (2, 2): X: 4}
OXOOXOX_X; X; {(2, 1): X: 9}
X_O___O_X; X; {(0, 1): X: 3, (1, 1): X: 6}
XO_OOX__X; X; {(0, 2): X: 3, (2, 0): X: 3, (2, 1): X: 6}
XXO__X_OO; X; {(1, 0): X: 3, (1, 1): X: 4, (2, 0): X: 3}
_XX__OXOO; X; {(0, 0): X: 3, (1, 0): X: 6, (1, 1): X: 3}
X_X_O__O_; X; {(0, 1): X: 6, (1, 0): X: 3, (2, 0): X: 3}
X_OO__XOX; X; {(0, 1): X: 3, (1, 1): X: 6}
O_XOXO__X; X; {(0, 1): X: 3, (2, 0): X: 6, (2, 1): X: 3}
X_XOX__OO; X; {(0, 1): X: 6, (1, 2): X: 3, (2, 0): X: 3}
OX__XOXO_; X; {(0, 2): X: 3, (1, 0): X: 6, (2, 2): X: 3}
X_O__O_X_; X; {(0, 1): X: 3, (1, 0): X: 3, (1, 1): X: 2, (2, 0): X: 3, (2, 2): X: 3}
X_OX_O___; X; {(0, 1): X: 3, (1, 1): X: 3, (2, 0): X: 6, (2, 1): X: 3, (2, 2): X: 3}
XOO__XXO_; X; {(1, 0): X: 3, (1, 1): X: 6, (2, 2): X: 3}
XOOOXXXO_; X; {(2, 2): X: 6}
