Second GUI MENACE: O
XX_OO___X; O; {(0, 2): O: 11, (1, 2): O: 9, (2, 0): O: 3, (2, 1): O: 3}
X_X__O_XO; O; {(0, 1): O: 2, (1, 0): O: 3, (1, 1): O: 2, (2, 0): O: 3}
XOOO_XX_X; O; {(1, 1): O: 3, (2, 1): O: 2}
XXO___OX_; O; {(1, 0): O: 2, (1, 1): O: 6, (1, 2): O: 3, (2, 2): O: 1}
X_X_O____; O; {(0, 1): O: 5, (1, 0): O: 5, (2, 0): O: 3, (2, 1): O: 2}
OX_XO___X; O; {(0, 2): O: 18, (1, 2): O: 8}
XXOX_XO_O; O; {(1, 1): O: 6, (2, 1): O: 3}
OOXXX_O_X; O; {(1, 2): O: 7, (2, 1): O: 3}
XXO______; O; {(1, 0): O: 3, (1, 1): O: 4, (1, 2): O: 3, (2, 0): O: 1, (2, 1): O: 2, (2, 2): O: 5}
XXOX____O; O; {(1, 1): O: 2, (1, 2): O: 3, (2, 0): O: 3, (2, 1): O: 3}
OXXOXX_O_; O; {(2, 0): O: 6, (2, 2): O: 3}
_O__X_X__; O; {(0, 0): O: 2, (0, 2): O: 3, (1, 0): O: 3, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 2}
O___XXX_O; O; {(0, 1): O: 5, (0, 2): O: 3, (1, 0): O: 3, (2, 1): O: 3}
OO__XXXXO; O; {(0, 2): O: 6, (1, 0): O: 3}
XXOO_X_OX; O; {(1, 1): O: 4, (2, 0): O: 2}
X_OO__XX_; O; {(0, 1): O: 3, (1, 1): O: 3, (1, 2): O: 3, (2, 2): O: 6}
XXOO__XXO; O; {(1, 1): O: 3, (1, 2): O: 6}
XX__OOXOX; O; {(0, 2): O: 2, (1, 0): O: 3}
OX_OXOX_X; O; {(0, 2): O: 1, (2, 1): O: 2}
OXXXXOO__; O; {(2, 1): O: 8}
XX_OOX_OX; O; {(0, 2): O: 4, (2, 0): O: 3}
XXO__X__O; O; {(1, 0): O: 3, (1, 1): O: 3, (2, 0): O: 3, (2, 1): O: 4}
_XXX_OXOO; O; {(0, 0): O: 3, (1, 1): O: 2}
X_X__X_OO; O; {(0, 1): O: 3, (1, 0): O: 3, (1, 1): O: 2, (2, 0): O: 3}
XXO___X_O; O; {(1, 0): O: 6, (1, 1): O: 3, (1, 2): O: 3, (2, 1): O: 3}
X_XOO___X; O; {(0, 1): O: 2, (1, 2): O: 6, (2, 0): O: 3, (2, 1): O: 2}
X_O__XXO_; O; {(0, 1): O: 2, (1, 0): O: 3, (1, 1): O: 2, (2, 2): O: 3}
X_XOX___O; O; {(0, 1): O: 3, (1, 2): O: 3, (2, 0): O: 3, (2, 1): O: 2}
XXO_OOX_X; O; {(1, 0): O: 6, (2, 1): O: 3}
_________; O; {(0, 0): O: 3, (0, 1): O: 9, (1, 0): O: 30, (1, 1): O: 6}
O_X_O_X_X; O; {(0, 1): O: 1, (1, 2): O: 2}
O_XO__X_X; O; {(0, 1): O: 3, (1, 1): O: 3, (1, 2): O: 3, (2, 1): O: 1}
O__XX__OX; O; {(0, 1): O: 2, (0, 2): O: 3, (1, 2): O: 3, (2, 0): O: 3}
X____O__X; O; {(0, 1): O: 3, (0, 2): O: 3, (1, 0): O: 3, (1, 1): O: 2, (2, 0): O: 3, (2, 1): O: 3}
