Menace 2: O
XO__X_XO_; O; {(1, 3): O: 3, (2, 1): O: 3, (2, 3): O: 3}
_XXX_O_O_; O; {(1, 1): O: 3, (2, 2): O: 3, (3, 1): O: 3, (3, 3): O: 9}
XX___OX_O; O; {(1, 3): O: 18, (2, 1): O: 5, (2, 2): O: 1, (3, 2): O: 1}
XXOXX_O_O; O; {(2, 3): O: 12}
OX_X__XO_; O; {(1, 3): O: 4, (2, 2): O: 3, (2, 3): O: 3, (3, 3): O: 3}
OXOX_XXO_; O; {(2, 2): O: 4, (3, 3): O: 3}
OX_XOXOX_; O; {(1, 3): O: 9}
_O_OX__XX; O; {(1, 1): O: 3, (1, 3): O: 2, (2, 3): O: 2, (3, 1): O: 3}
XO_X_____; O; {(1, 3): O: 3, (2, 2): O: 1, (2, 3): O: 2, (3, 1): O: 2, (3, 2): O: 11, (3, 3): O: 2}
XO_XX_O__; O; {(1, 3): O: 2, (2, 3): O: 5, (3, 2): O: 2, (3, 3): O: 1}
XOX__XO__; O; {(2, 1): O: 2, (2, 2): O: 5, (3, 2): O: 13, (3, 3): O: 9}
XOX_X__O_; O; {(2, 1): O: 1, (3, 1): O: 1}
X____XOXO; O; {(1, 2): O: 8, (1, 3): O: 4, (2, 2): O: 41}
XX_O_XOXO; O; {(1, 3): O: 2, (2, 2): O: 2}
XO__O_X_X; O; {(1, 3): O: 2, (2, 1): O: 3, (2, 3): O: 11, (3, 2): O: 3}
XOX_OOX_X; O; {(2, 1): O: 15}
X_OO_X_X_; O; {(1, 2): O: 3, (2, 2): O: 3, (3, 1): O: 3, (3, 3): O: 3}
XXO__XOXO; O; {(2, 1): O: 2, (2, 2): O: 84}
_XO_O_X_X; O; {(2, 1): O: 1, (3, 2): O: 149}
_XXXOOXO_; O; {(1, 1): O: 8, (3, 3): O: 1}
_XXOO__X_; O; {(1, 1): O: 18, (2, 3): O: 9, (3, 1): O: 1, (3, 3): O: 6}
XOOX_O_XX; O; {(2, 2): O: 3, (3, 1): O: 3}
_XOXOXX_O; O; {(1, 1): O: 27, (3, 2): O: 2}
XXOXOO__X; O; {(3, 1): O: 15, (3, 2): O: 3}
XXO_O___X; O; {(2, 1): O: 6, (2, 3): O: 9, (3, 1): O: 9, (3, 2): O: 11}
XOX____OX; O; {(2, 1): O: 3, (2, 2): O: 9, (2, 3): O: 2, (3, 1): O: 1}
XXO_OXX_O; O; {(2, 1): O: 102}
_X_XX_O_O; O; {(1, 1): O: 2, (1, 3): O: 3, (2, 3): O: 3, (3, 2): O: 3}
XX___X_OO; O; {(1, 3): O: 8, (2, 1): O: 2, (2, 2): O: 2, (3, 1): O: 12}
X_O__X___; O; {(1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 4, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3}
XX__O_X_O; O; {(2, 1): O: 4, (2, 3): O: 3, (3, 2): O: 3}
X_OX_X_O_; O; {(1, 2): O: 2, (2, 2): O: 3, (3, 1): O: 3, (3, 3): O: 3}
XO__XX__O; O; {(1, 3): O: 4, (2, 1): O: 5, (3, 1): O: 4, (3, 2): O: 5}
XXOX_X_OO; O; {(2, 2): O: 1, (3, 1): O: 6}
XXO_OX_XO; O; {(2, 1): O: 4, (3, 1): O: 39}
XXOXOX_O_; O; {(3, 1): O: 9, (3, 3): O: 3}
XOOXX____; O; {(2, 3): O: 3, (3, 2): O: 1, (3, 3): O: 3}
X_OX__OX_; O; {(1, 2): O: 2, (2, 2): O: 18, (2, 3): O: 3, (3, 3): O: 9}
XOOXX_OX_; O; {(2, 3): O: 2, (3, 3): O: 1}
XXO__XXOO; O; {(2, 1): O: 11}
